2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderSummary)	{"folderId": "oo4ts-cwwfw"}
2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "TORCHXX-TFQ3PVU-7TPWPDP-HBGVKUC-CNHI43Z-XTUQCI2-5HC7UIJ-5NDEDAP", "folderId": "oo4ts-cwwfw"}
2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "folderId": "oo4ts-cwwfw"}
2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderSummary)	{"folderId": "ciayr-ji5ho"}
2025-08-07T14:24:41.486+0800	INFO	runtime/asm_amd64.s:1700	同步文件夹(FolderCompletion)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "folderId": "ciayr-ji5ho"}
2025-08-07T14:24:41.486+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:24:41.486+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:24:41.486+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:24:41.487+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:25:11.487+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:25:11.487+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:25:11.487+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:25:11.487+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:25:11.487+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:25:11.487+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:25:41.487+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:25:41.488+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:25:41.488+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:25:41.488+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:25:41.488+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:25:41.488+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:26:11.488+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:26:11.488+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:26:11.488+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:26:11.488+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:26:11.488+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:26:11.488+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:26:41.489+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:26:41.489+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:26:41.489+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:26:41.489+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:26:41.489+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:26:41.490+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:27:11.491+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
2025-08-07T14:27:11.491+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 0}
2025-08-07T14:27:11.491+0800	DEBUG	runtime/asm_amd64.s:1700	本轮事件处理完成，准备进入下一轮
2025-08-07T14:27:11.491+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 48}
2025-08-07T14:27:11.491+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:27:11.491+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=48&timeout=30"}
2025-08-07T14:27:41.491+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 3}
